A	name	content	like_up	out_check	line_end	비고	ani 1=n 2=maji 3=h 4=men
1	마리사	뭐야, 여기까지 외지인이 들어오다니					4
2	마리사	저 슬라임을 뚫고 굳이 여기까지 온다니					4
3	마리사	제성신이 아닌것 같다ZE					4
4	(방랑자)	(맞는 말이라 할 말이 없다….)					1
5	마리사	나는 키라사메 마리사, 이 마법도구점을 운영하고 있다고					3
6	마리사	뭔가 필요한게 있으면 말해봐	1		1	첫조우	1
7	마리사	end					
8	마리사	뭐야, 너야?					4
9	마리사	뭔가 살게 없으면 그냥 지나가지 그래?					4
10	마리사	뭐? 살게 있다고?					4
11	마리사	흠흠... 그래 손님, 뭐가 필요해?			1		4
12	마리사	end					
13	마리사						
14	마리사						
15	마리사						
16	마리사	환상향은 기적의 공간이라고 하는데					1
17	마리사	딱히 별 감흥은 없단 말이지	1		1		1
18	마리사	end					
19	마리사	뭐, 별 생각은 없지만 말이야					4
20	마리사	매일 빈 세전함을 보는건 슬프단말이야	1		1		4
21	마리사	end					
22	마리사	뭐? 나하고 이야기하고 싶다고?					1
23	마리사	그렇게 재미있는 이야기는 없는데 말이야	1		1		3
24	마리사	end					
25	마리사	매일 매일 청소해도 항상 낙엽이 쌓여버려					4
26	마리사	그냥 가만히 둬도 똑같지 않을까?			1	미니게임	4
27	마리사	end					
28	마리사	생각해 보니, 너 환상향이 처음이었지?					1
29	마리사	그럼, 마리사에게 가보는 걸 추천해					2
30	마리사	마리사도 너와 같은 인간이니까 뭔가 해줄 수 있지 않을까?					2
31	마리사	나도 인간 아니냐고? 뭐, 나는 논외니까 말이야	1		1		3
32	마리사	end					
33	마리사	숲으로 들어갈 때는 조심해					2
34	마리사	요즘 이상한 괴물들이 많이 생겨났다는 소문이 많더라고					2
35	마리사	슬라임이라던가? 그런 게 왜 환상량에 생겨난 거지?					2
36	마리사	뭐, 그러니 제대로 준비라도 하고 들어가는 걸 추천할게	1		1		2
37	마리사	end					
38	마리사	이제 가는거야					1
39	마리사	그래, 다음에 보자		1		호감도 50 이하일시?	3
40	마리사	end					
41	마리사					호감도 레벨2	
42	마리사						3
43	마리사	오, 고마워! 이걸로 조금 일할게 줄었겠지 여기, 도와준 보답이야	1		1	미니게임 끝, 골드 획득	3
44	마리사	end					
45	마리사						
46	마리사						
47	마리사	오 왔어? 오늘 괜찮은 술이 들어왔는데 같이 마실래?					1
48	마리사	뭐, 우리 사이에 이정도는 괜찮지			1	호감도 50 이상시?	3
49	마리사	end					
50	마리사						
51	마리사	오늘도 낙엽이 많이 쌓였네					4
52	마리사	혹시 시간 나면 나좀 도와줄래?			1	미니게임	1
53	마리사	end					
54	마리사	너도 참 특이해					1
55	마리사	요괴가 자주 보이는 이 신사에 계속 올 생각을 하다니					4
56	마리사	뭐, 그덕분에 나도 덜 심심해서 좋지만 말이야	1		1		3
57	마리사	end					
58	마리사	마을 옆쪽으로 가면 특이한 성이 있는거 알아?					1
59	마리사	흡혈귀들이 사는 성인데, 레밀리아라는 녀석이 있을꺼야					1
60	마리사	혹시 가게 되면 조심하는게 좋을껄?	1		1		3
61	마리사	end					
62	마리사	이번에 마을에 포션이라는 종류의 음료가 나왔길래 사서 먹어봤는데					4
63	마리사	그렇게 맛이 없는 음료를 굳이 돈을 주고 먹어야해?	1		1		4
64	마리사	end					
65	마리사	싸움을 잘하는 법? 그냥 잘보고 잘 피하면 되는거지					1
66	마리사	뭐, 나니까 되는거지만 말이야	1		1		3
67	마리사	end					
68	마리사	요즘 재정 상황이 점점 나빠지는 것 같단 말이야					4
69	마리사	(술을 그만 마시면 되는거 아니야?)					4
70	마리사	어이 지금 "술을 그만 마시면 되지"같은 생각했지?					3
71	마리사	(흠칫)					3
72	마리사	술은 내가 즐기는 유일한 낙이라고, 그걸 뺏으면 안되지	1		1		4
73	마리사	end					
